id,legacy_id,formal_code,scientific_name,family_code,family,genus,species,area,hypothesis,primary_metric,metric_code,suggested_method,source
H102,H102,AVT-COG-CAPT-102,*Cognitio captionis* var. h102-word-word-captions,COG,Comprehension / cognitive load,Cognitio,captionis,Dual coding,Word-by-word captions improve stimulation but can hurt comprehension for complex explanations.,"early retention, completion",EHR,M-DOS,reconstructed_from_conversation/deep_thesis_bank
H103,H103,AVT-COG-TEXT-103,*Cognitio textualis* var. h103-short-overlay-headlines,COG,Comprehension / cognitive load,Cognitio,textualis,Text overlays,Short overlay headlines improve early retention when the visual is ambiguous.,3-sec hold,EHR,M-DOS,reconstructed_from_conversation/deep_thesis_bank
H104,H104,AVT-COG-TEXT-104,*Cognitio textualis* var. h104-large-central-text,COG,Comprehension / cognitive load,Cognitio,textualis,Text overlays,Large central text hurts retention over dynamic footage.,completion,RET,M-DOS,reconstructed_from_conversation/deep_thesis_bank
H105,H105,AVT-COG-TEXT-105,*Cognitio textualis* var. h105-text-overlays-should,COG,Comprehension / cognitive load,Cognitio,textualis,Text overlays,"Text overlays should change at story beats, not at random cut points.","avg watch, completion",RET,M-DOS,reconstructed_from_conversation/deep_thesis_bank
H106,H106,AVT-COG-TEXT-106,*Cognitio textualis* var. h106-text-names-problem,COG,Comprehension / cognitive load,Cognitio,textualis,Text overlays,Text that names the viewer's problem outperforms decorative text.,"3-sec hold, saves",EHR,M-DOS,reconstructed_from_conversation/deep_thesis_bank
H107,H107,AVT-TEN-UNCU-107,*Tensio uncus* var. h107-hooks-missing-answer,TEN,Hook tension / information gap,Tensio,uncus,Information gap,Hooks with a specific missing answer outperform vague suspense hooks.,completion,RET,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H108,H108,AVT-TEN-UNCU-108,*Tensio uncus* var. h108-curiosity-hooks-increase,TEN,Hook tension / information gap,Tensio,uncus,Information gap,Curiosity hooks increase completion only when payoff is concrete and visible.,"completion, rewatch",RET,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H109,H109,AVT-TEN-UNCU-109,*Tensio uncus* var. h109-overpromising-hooks-increase,TEN,Hook tension / information gap,Tensio,uncus,Information gap,Overpromising hooks increase starts but reduce follow conversion.,"follow rate, sentiment",FOL,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H110,H110,AVT-TEN-TENS-110,*Tensio tensionis* var. h110-mistake-frames-increase,TEN,Hook tension / information gap,Tensio,tensionis,Framing,Mistake frames increase early retention.,3-sec hold,EHR,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H111,H111,AVT-TEN-ACTI-111,*Tensio actionalis* var. h111-checklist-frames-increase,TEN,Hook tension / information gap,Tensio,actionalis,Framing,Checklist frames increase saves.,save rate,SAV,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H112,H112,AVT-TEN-ACTI-112,*Tensio actionalis* var. h112-teardown-frames-increase,TEN,Hook tension / information gap,Tensio,actionalis,Framing,Teardown frames increase follows because they display judgment.,follow rate,FOL,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H113,H113,AVT-TEN-ACTI-113,*Tensio actionalis* var. h113-myth-bust-frames,TEN,Hook tension / information gap,Tensio,actionalis,Framing,Myth-bust frames increase comments.,comments per reach,CMT,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H114,H114,AVT-CLS-TOPI-114,*Claritas topica* var. h114-accounts-repeated-topic,CLS,Classification / legibility,Claritas,topica,Niche-setting,Accounts with repeated topic pillars get stronger classification than accounts posting unrelated tips.,"search traffic, return viewers",SEA,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H115,H115,AVT-ACT-SERI-115,*Actio serialis* var. h115-named-recurring-formats,ACT,Action design / CTA,Actio,serialis,Niche-setting,Named recurring formats increase follower conversion because the viewer can predict future value.,"follows per 1,000 views",FOL,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H116,H116,AVT-SEA-QUAE-116,*Quaeribilitas quaesitiva* var. h116-repeated-topic-language,SEA,Search / long-tail demand,Quaeribilitas,quaesitiva,Niche-setting,Repeated topic language across videos improves search and recommendation coherence.,"search traffic, topic consistency",SEA,M-SGA,reconstructed_from_conversation/deep_thesis_bank
H117,H117,AVT-ACT-ACTI-117,*Actio actionalis* var. h117-ctas-outperform-generic,ACT,Action design / CTA,Actio,actionalis,CTA behaviour design,Specific CTAs outperform generic CTAs.,action rate,MIX,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H118,H118,AVT-ACT-ACTI-118,*Actio actionalis* var. h118-save-ctas-work,ACT,Action design / CTA,Actio,actionalis,CTA behaviour design,Save CTAs work only when the content has future utility.,save rate,SAV,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H119,H119,AVT-TRN-ACTI-119,*Transmissio actionalis* var. h119-send-ctas-work,TRN,Social transmission / sharing,Transmissio,actionalis,CTA behaviour design,Send CTAs work only when the recipient is obvious.,send/share rate,SND,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H120,H120,AVT-ACT-ACTI-120,*Actio actionalis* var. h120-follow-ctas-work,ACT,Action design / CTA,Actio,actionalis,CTA behaviour design,Follow CTAs work only when the account promise is clear.,follow rate,FOL,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H121,H121,AVT-FID-PROB-121,*Fides probatoria* var. h121-starting-real-comment,FID,Trust / proof / originality,Fides,probatoria,Social proof,Starting from a real comment increases perceived relevance.,"watch time, comments",RET,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H122,H122,AVT-FID-PROB-122,*Fides probatoria* var. h122-proof-screenshots-increase,FID,Trust / proof / originality,Fides,probatoria,Social proof,Proof screenshots increase saves and follows but may reduce mass appeal if visually boring.,"saves, follows",SAV,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H123,H123,AVT-TEN-PROB-123,*Tensio probatoria* var. h123-someone-asked-framing,TEN,Hook tension / information gap,Tensio,probatoria,Social proof,Someone-asked-this framing increases watch intent because it implies validated demand.,"3-sec hold, comments",EHR,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H124,H124,AVT-TRN-SOCI-124,*Transmissio socialis* var. h124-clear-recipient-category,TRN,Social transmission / sharing,Transmissio,socialis,Weak ties,Videos with a clear recipient category get more shares than videos with generic share value.,sends/shares,SND,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H125,H125,AVT-COG-TEXT-125,*Cognitio textualis* var. h125-solves-recognisable-problem,COG,Comprehension / cognitive load,Cognitio,textualis,Weak ties,Content that solves a recognisable problem crosses network clusters better than content requiring niche context.,"shares, 7d reach",SND,M-DOS,reconstructed_from_conversation/deep_thesis_bank
H126,H126,AVT-TRN-ACTI-126,*Transmissio actionalis* var. h126-send-someone-works,TRN,Social transmission / sharing,Transmissio,actionalis,Weak ties,Send this to someone who works best when the recipient is socially obvious.,send/share rate,SND,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H127,H127,AVT-ACT-ACTI-127,*Actio actionalis* var. h127-effort-binary-comment,ACT,Action design / CTA,Actio,actionalis,Threshold cascades,Low-effort binary comment prompts outperform broad open-ended prompts.,comments per reach,CMT,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H128,H128,AVT-FID-FIDU-128,*Fides fiduciae* var. h128-templates-outperform-advice,FID,Trust / proof / originality,Fides,fiduciae,Threshold cascades,Templates outperform advice when the desired action is participation.,"saves, remixes, comments",SAV,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H129,H129,AVT-ACT-PROM-129,*Actio prompta* var. h129-visible-participation-cues,ACT,Action design / CTA,Actio,prompta,Threshold cascades,Visible participation cues increase further participation.,"comments, remixes",CMT,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H130,H130,AVT-ACT-ACTI-130,*Actio actionalis* var. h130-tips-framed-your,ACT,Action design / CTA,Actio,actionalis,Diffusion adoptability,Tips framed as try this in your next edit produce more saves than abstract strategy advice.,save rate,SAV,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H131,H131,AVT-TRN-STOR-131,*Transmissio storyformis* var. h131-observable-before-after,TRN,Social transmission / sharing,Transmissio,storyformis,Diffusion adoptability,Observable before/after benefits increase shares.,share rate,SND,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H132,H132,AVT-FOR-FORM-132,*Forma formalis* var. h132-complexity-tutorials-outperform,FOR,Content form mechanics,Forma,formalis,Diffusion adoptability,Lower-complexity tutorials outperform complex frameworks for short-form feeds.,"completion, saves",RET,M-FRM,reconstructed_from_conversation/deep_thesis_bank
H133,H133,AVT-TRN-ACTI-133,*Transmissio actionalis* var. h133-expert-facing-generate,TRN,Social transmission / sharing,Transmissio,actionalis,Opinion leaders,Expert-facing videos generate fewer views but higher-quality shares and follows.,"profile clicks, follows",SND,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H134,H134,AVT-FID-FIDU-134,*Fides fiduciae* var. h134-quote-worthy-claims,FID,Trust / proof / originality,Fides,fiduciae,Opinion leaders,Quote-worthy claims increase pickup by curators.,"external shares, saves",SAV,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H135,H135,AVT-FOR-STOR-135,*Forma storyformis* var. h135-teardowns-frameworks-spread,FOR,Content form mechanics,Forma,storyformis,Opinion leaders,Teardowns and frameworks spread better among opinion leaders than generic tips.,quality of comments/shares,SND,M-FRM,reconstructed_from_conversation/deep_thesis_bank
H136,H136,AVT-TRN-ACTI-136,*Transmissio actionalis* var. h136-neutral-educational-gets,TRN,Social transmission / sharing,Transmissio,actionalis,Emotional arousal,"Neutral educational content gets saves, while emotionally framed educational content gets saves and shares.","saves, shares",SAV,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H137,H137,AVT-TEN-PULS-137,*Tensio pulsus* var. h137-frustration-framing-improves,TEN,Hook tension / information gap,Tensio,pulsus,Emotional arousal,"Frustration framing improves early retention, but solution framing preserves trust.","3-sec hold, follows",EHR,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H138,H138,AVT-TEN-PULS-138,*Tensio pulsus* var. h138-surprise-framing-safer,TEN,Hook tension / information gap,Tensio,pulsus,Emotional arousal,Awe or surprise framing is safer than anger for long-term brand trust.,"shares, sentiment",SND,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H139,H139,AVT-RET-STOR-139,*Retentio storyformis* var. h139-information-bearing-cuts,RET,Retention / story progress,Retentio,storyformis,Story beats,Information-bearing cuts outperform decorative cuts at the same cut frequency.,"avg watch, saves",RET,M-SEQ,reconstructed_from_conversation/deep_thesis_bank
H140,H140,AVT-RET-STOR-140,*Retentio storyformis* var. h140-visible-moment-change,RET,Retention / story progress,Retentio,storyformis,Story beats,Videos with a visible moment of change outperform videos that only state advice.,"completion, rewatch",RET,M-SEQ,reconstructed_from_conversation/deep_thesis_bank
H141,H141,AVT-RET-STOR-141,*Retentio storyformis* var. h141-problem-test-result,RET,Retention / story progress,Retentio,storyformis,Story beats,Problem-test-result beats here-are-tips for retention.,"completion, saves",RET,M-SEQ,reconstructed_from_conversation/deep_thesis_bank
H142,H142,AVT-ATT-FACI-142,*Salientia facialis* var. h142-early-face-plus,ATT,Attention / first-frame salience,Salientia,facialis,Face as anchor,Early face plus proof inserts beats full talking-head for creator education.,"retention, saves, follows",EHR,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H143,H143,AVT-COG-TEXT-143,*Cognitio textualis* var. h143-face-need-stronger,COG,Comprehension / cognitive load,Cognitio,textualis,Face as anchor,No-face videos need stronger proof and clearer text to compensate for lower human trust.,"completion, saves",RET,M-DOS,reconstructed_from_conversation/deep_thesis_bank
H144,H144,AVT-FID-FACI-144,*Fides facialis* var. h144-face-over-screen,FID,Trust / proof / originality,Fides,facialis,Face as anchor,Face-cam over screen recording improves trust without losing instructional clarity.,"saves, follows",SAV,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H145,H145,AVT-FOR-FORM-145,*Forma formalis* var. h145-category-consistent-pattern,FOR,Content form mechanics,Forma,formalis,Distinctiveness,Category-consistent pattern interruption beats random weirdness.,"chose-to-view, completion",CTV,M-FRM,reconstructed_from_conversation/deep_thesis_bank
H146,H146,AVT-TEN-TEXT-146,*Tensio textualis* var. h146-contrarian-phrasing-works,TEN,Hook tension / information gap,Tensio,textualis,Distinctiveness,Contrarian phrasing works best when paired with familiar visual context.,"early retention, comments",EHR,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H147,H147,AVT-ATT-PRIM-147,*Salientia primafacialis* var. h147-distinctive-frames-increase,ATT,Attention / first-frame salience,Salientia,primafacialis,Distinctiveness,Distinctive first frames increase memory but not necessarily saves unless the video delivers utility.,"rewatch, saves",RET,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H148,H148,AVT-ACT-SERI-148,*Actio serialis* var. h148-named-series-increase,ACT,Action design / CTA,Actio,serialis,Series memory,Named series increase follower conversion versus standalone posts.,follow rate,FOL,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H149,H149,AVT-MEM-SERI-149,*Memoria serialis* var. h149-series-recurring-structure,MEM,Series / audience memory,Memoria,serialis,Series memory,Series with recurring structure but variable examples outperform random formats.,"return viewers, follows",FOL,M-SEQ,reconstructed_from_conversation/deep_thesis_bank
H150,H150,AVT-FID-SERI-150,*Fides serialis* var. h150-excessively-identical-series,FID,Trust / proof / originality,Fides,serialis,Series memory,Excessively identical series templates decay over time.,"7d decay, comments",CMT,M-MPT,reconstructed_from_conversation/deep_thesis_bank
H151,H151,AVT-ACT-ACTI-151,*Actio actionalis* var. h151-ending-clear-takeaway,ACT,Action design / CTA,Actio,actionalis,Peak-end / endings,Videos ending with a clear takeaway produce higher saves than videos ending with generic CTAs.,save rate,SAV,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H152,H152,AVT-RET-STOR-152,*Retentio storyformis* var. h152-ending-strongest-before,RET,Retention / story progress,Retentio,storyformis,Peak-end / endings,Ending on the strongest before/after increases rewatch.,rewatch,RET,M-SEQ,reconstructed_from_conversation/deep_thesis_bank
H153,H153,AVT-RET-RETE-153,*Retentio retentiva* var. h153-final-rule-checklist,RET,Retention / story progress,Retentio,retentiva,Peak-end / endings,A final rule or checklist improves remembered value.,"saves, return viewers",SAV,M-SEQ,reconstructed_from_conversation/deep_thesis_bank
H154,H154,AVT-EXP-ACTI-154,*Experimentum actionalis* var. h154-ranking-views-leads,EXP,Testing / measurement,Experimentum,actionalis,Metric validity,"Ranking videos by raw views leads to worse creative decisions than ranking by retention plus saves, sends, and follows.",repeatability,SAV,M-PRE,reconstructed_from_conversation/deep_thesis_bank
H155,H155,AVT-RSK-ACTI-155,*Custodia actionalis* var. h155-some-view-formats,RSK,Risk / decision control,Custodia,actionalis,Metric validity,Some lower-view videos are better formats to scale if they have high save or follow conversion.,saves/follows per view,SAV,M-ROB,reconstructed_from_conversation/deep_thesis_bank
H156,H156,AVT-EXP-ACTI-156,*Experimentum actionalis* var. h156-high-views-follow,EXP,Testing / measurement,Experimentum,actionalis,Metric validity,High raw views with low follow conversion indicate weak account fit.,"follows per 1,000 views",FOL,M-PRE,reconstructed_from_conversation/deep_thesis_bank
H157,H157,AVT-TEN-UNCU-157,*Tensio uncus* var. h157-clickbait-hooks-improve,TEN,Hook tension / information gap,Tensio,uncus,Clickbait risk,Clickbait hooks improve initial starts but lower completion and follow conversion.,"completion, follow rate",RET,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H158,H158,AVT-TEN-UNCU-158,*Tensio uncus* var. h158-accurate-high-tension,TEN,Hook tension / information gap,Tensio,uncus,Clickbait risk,Accurate high-tension hooks outperform exaggerated hooks over 7 to 30 days.,7d/30d durability,SEA,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H159,H159,AVT-TEN-UNCU-159,*Tensio uncus* var. h159-curiosity-plus-proof,TEN,Hook tension / information gap,Tensio,uncus,Clickbait risk,Curiosity plus proof beats curiosity plus delay.,"completion, saves",RET,M-SVT,reconstructed_from_conversation/deep_thesis_bank
H160,H160,AVT-SEA-QUAE-160,*Quaeribilitas quaesitiva* var. h160-search-should-open,SEA,Search / long-tail demand,Quaeribilitas,quaesitiva,Search vs feed,Search-first videos should open with the exact problem and solution.,search traffic,SEA,M-SGA,reconstructed_from_conversation/deep_thesis_bank
H161,H161,AVT-SEA-QUAE-161,*Quaeribilitas quaesitiva* var. h161-feed-should-open,SEA,Search / long-tail demand,Quaeribilitas,quaesitiva,Search vs feed,"Feed-first videos should open with contrast, tension, or result.","chose-to-view, 3-sec hold",CTV,M-SGA,reconstructed_from_conversation/deep_thesis_bank
H162,H162,AVT-MED-UNCU-162,*Mediagrammatica uncus* var. h162-hybrid-should-keyword,MED,Platform grammar,Mediagrammatica,uncus,Search vs feed,Hybrid videos should put the keyword in the first two seconds while using a feed-native visual hook.,search + feed retention,SEA,M-CST,reconstructed_from_conversation/deep_thesis_bank
H163,H163,AVT-MED-NATI-163,*Mediagrammatica nativa* var. h163-native-edits-outperform,MED,Platform grammar,Mediagrammatica,nativa,Platform grammar,Platform-native edits outperform identical cross-posts.,platform-specific action rate,MIX,M-CST,reconstructed_from_conversation/deep_thesis_bank
H164,H164,AVT-MED-QUAE-164,*Mediagrammatica quaesitiva* var. h164-reels-should-bias,MED,Platform grammar,Mediagrammatica,quaesitiva,Platform grammar,"Reels should bias toward sendability, Shorts toward retention/search, and TikTok toward search/trend/comment loops.",surface-specific metrics,SND,M-CST,reconstructed_from_conversation/deep_thesis_bank
H165,H165,AVT-MED-NATI-165,*Mediagrammatica nativa* var. h165-thesis-needs-different,MED,Platform grammar,Mediagrammatica,nativa,Platform grammar,The same thesis needs different first-frame grammar per platform.,chose-to-view by platform,CTV,M-CST,reconstructed_from_conversation/deep_thesis_bank
H166,H166,AVT-FOR-FACI-166,*Forma facialis* var. h166-early-face-plus,FOR,Content form mechanics,Forma,facialis,Talking head,Early face plus proof inserts beats uninterrupted face-only delivery for educational videos.,infer from protocol,EHR,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H167,H167,AVT-FOR-FACI-167,*Forma facialis* var. h167-talking-head-retain,FOR,Content form mechanics,Forma,facialis,Talking head,Talking-head videos retain better when the first sentence names a specific viewer problem rather than a topic category.,infer from protocol,MIX,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H168,H168,AVT-FOR-FACI-168,*Forma facialis* var. h168-direct-contact-improves,FOR,Content form mechanics,Forma,facialis,Talking head,"Direct eye contact improves trust, but too much static framing lowers completion on practical content.",infer from protocol,RET,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H169,H169,AVT-FOR-ACTI-169,*Forma actionalis* var. h169-tutorials-save-final,FOR,Content form mechanics,Forma,actionalis,Tutorial / how-to,Tutorials save better when the final state is shown before the steps.,infer from protocol,SAV,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H170,H170,AVT-FOR-TEXT-170,*Forma textualis* var. h170-step-labels-improve,FOR,Content form mechanics,Forma,textualis,Tutorial / how-to,Step labels improve completion in tutorials with more than two steps.,infer from protocol,RET,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H171,H171,AVT-FOR-FORM-171,*Forma formalis* var. h171-tutorials-visible-mistake,FOR,Content form mechanics,Forma,formalis,Tutorial / how-to,Tutorials with one visible mistake and one fix outperform general tip lists.,infer from protocol,MIX,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H172,H172,AVT-FOR-FORM-172,*Forma formalis* var. h172-zoomed-screen-recordings,FOR,Content form mechanics,Forma,formalis,Screen recording / software,Zoomed screen recordings retain better than full-screen recordings on mobile.,infer from protocol,MIX,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H173,H173,AVT-FOR-TEXT-173,*Forma textualis* var. h173-cursor-highlight-annotations,FOR,Content form mechanics,Forma,textualis,Screen recording / software,Cursor/highlight annotations increase saves when UI targets are small.,infer from protocol,SAV,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H174,H174,AVT-FOR-TEXT-174,*Forma textualis* var. h174-screen-tutorials-need,FOR,Content form mechanics,Forma,textualis,Screen recording / software,Screen tutorials need a verbal or text promise in the first 2 seconds because UI alone is often visually ambiguous.,infer from protocol,MIX,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H175,H175,AVT-FID-FIDU-175,*Fides fiduciae* var. h175-podcast-clips-perform,FID,Trust / proof / originality,Fides,fiduciae,Podcast / interview clip,"Podcast clips perform better when opened with the strongest claim, not the start of the answer.",infer from protocol,MIX,M-MPT,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H176,H176,AVT-COG-TEXT-176,*Cognitio textualis* var. h176-adding-context-labels,COG,Comprehension / cognitive load,Cognitio,textualis,Podcast / interview clip,Adding context labels improves retention when the speaker is unknown.,infer from protocol,MIX,M-DOS,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H177,H177,AVT-RET-PULS-177,*Retentio pulsus* var. h177-person-reaction-cuts,RET,Retention / story progress,Retentio,pulsus,Podcast / interview clip,Two-person reaction cuts increase perceived conversation energy compared with a static wide shot.,infer from protocol,MIX,M-SEQ,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H178,H178,AVT-FID-STOR-178,*Fides storyformis* var. h178-street-interviews-retain,FID,Trust / proof / originality,Fides,storyformis,Street interview / vox pop,Street interviews retain better when the question is displayed before the answer.,infer from protocol,MIX,M-MPT,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H179,H179,AVT-RET-RETE-179,*Retentio retentiva* var. h179-surprising-answers-should,RET,Retention / story progress,Retentio,retentiva,Street interview / vox pop,Surprising answers should be previewed in the first second to increase completion.,infer from protocol,RET,M-SEQ,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H180,H180,AVT-RET-RETE-180,*Retentio retentiva* var. h180-rapid-respondent-variety,RET,Retention / story progress,Retentio,retentiva,Street interview / vox pop,Rapid respondent variety improves rewatch if the question is simple and repeated visually.,infer from protocol,RET,M-SEQ,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H181,H181,AVT-FOR-STOR-181,*Forma storyformis* var. h181-comedy-clips-need,FOR,Content form mechanics,Forma,storyformis,Skit / comedy,"Comedy clips need the premise within the first second, not after character setup.",infer from protocol,MIX,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H182,H182,AVT-RET-RETE-182,*Retentio retentiva* var. h182-rule-three-structure,RET,Retention / story progress,Retentio,retentiva,Skit / comedy,Rule-of-three structure increases completion in short skits.,infer from protocol,RET,M-SEQ,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H183,H183,AVT-TRN-SOCI-183,*Transmissio socialis* var. h183-comedy-becomes-shareable,TRN,Social transmission / sharing,Transmissio,socialis,Skit / comedy,Comedy becomes more shareable when the target identity is obvious.,infer from protocol,SND,M-SVT,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H184,H184,AVT-FOR-ACTI-184,*Forma actionalis* var. h184-reaction-perform-added,FOR,Content form mechanics,Forma,actionalis,Meme / remix / reaction,"Reaction videos perform better when the added commentary changes the meaning, not just repeats the source clip.",infer from protocol,CMT,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H185,H185,AVT-FOR-TEXT-185,*Forma textualis* var. h185-memes-niche-labels,FOR,Content form mechanics,Forma,textualis,Meme / remix / reaction,Memes with niche labels increase sends inside that group but may narrow total reach.,infer from protocol,SND,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H186,H186,AVT-FOR-STOR-186,*Forma storyformis* var. h186-remixes-need-payoff,FOR,Content form mechanics,Forma,storyformis,Meme / remix / reaction,Remixes need a new payoff within 3 seconds to avoid feeling like recycled content.,infer from protocol,MIX,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H187,H187,AVT-FOR-STOR-187,*Forma storyformis* var. h187-product-demos-convert,FOR,Content form mechanics,Forma,storyformis,Product demo / unboxing,Product demos convert better when the problem is shown before the product.,infer from protocol,MIX,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H188,H188,AVT-FID-COMM-188,*Fides commercialis* var. h188-unboxings-retain-test,FID,Trust / proof / originality,Fides,commercialis,Product demo / unboxing,Unboxings retain better when a test/result happens early rather than only aesthetic reveal.,infer from protocol,EHR,M-MPT,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H189,H189,AVT-RET-COMM-189,*Retentio commercialis* var. h189-close-tactile-shots,RET,Retention / story progress,Retentio,commercialis,Product demo / unboxing,Close-up tactile shots increase watch time for physical products compared with presenter-only explanation.,infer from protocol,RET,M-SEQ,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H190,H190,AVT-FID-COMM-190,*Fides commercialis* var. h190-believable-they-include,FID,Trust / proof / originality,Fides,commercialis,UGC ad / testimonial,UGC ads are more believable when they include a specific situation rather than generic praise.,infer from protocol,MIX,M-MPT,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H191,H191,AVT-FID-PROB-191,*Fides probatoria* var. h191-before-after-evidence,FID,Trust / proof / originality,Fides,probatoria,UGC ad / testimonial,Before/after evidence outperforms claims-only testimonials for utility products.,infer from protocol,MIX,M-MPT,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H192,H192,AVT-FID-COMM-192,*Fides commercialis* var. h192-polish-beats-polished,FID,Trust / proof / originality,Fides,commercialis,UGC ad / testimonial,Low-polish UGC beats polished brand footage when authenticity is the main value proposition.,infer from protocol,MIX,M-MPT,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H193,H193,AVT-COG-TEXT-193,*Cognitio textualis* var. h193-livestream-clips-need,COG,Comprehension / cognitive load,Cognitio,textualis,Livestream clip,Livestream clips need an edited setup line because raw stream context is usually missing.,infer from protocol,MIX,M-DOS,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H194,H194,AVT-FOR-FORM-194,*Forma formalis* var. h194-clips-live-perform,FOR,Content form mechanics,Forma,formalis,Livestream clip,Clips from live Q&A perform better when the viewer question is shown first.,infer from protocol,MIX,M-FRM,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H195,H195,AVT-ACT-SERI-195,*Actio serialis* var. h195-live-clips-follow,ACT,Action design / CTA,Actio,serialis,Livestream clip,Live clips are more follow-worthy when they imply recurring access to expertise.,infer from protocol,FOL,M-SVT,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H196,H196,AVT-FID-STOR-196,*Fides storyformis* var. h196-gaming-clips-retain,FID,Trust / proof / originality,Fides,storyformis,Gaming clip,Gaming clips retain better when the stakes are stated before the play.,infer from protocol,MIX,M-MPT,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H197,H197,AVT-TRN-FACI-197,*Transmissio facialis* var. h197-facecam-reaction-increases,TRN,Social transmission / sharing,Transmissio,facialis,Gaming clip,Facecam/reaction increases shareability when emotional reaction is stronger than the gameplay itself.,infer from protocol,SND,M-SVT,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
H198,H198,AVT-ACT-ACTI-198,*Actio actionalis* var. h198-tutorial-gaming-clips,ACT,Action design / CTA,Actio,actionalis,Gaming clip,Tutorial gaming clips save better when they freeze-frame the exact mechanic.,infer from protocol,SAV,M-SVT,v3/07_Expanded_Hypothesis_Library/08_master_hypothesis_index.md
